Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA,Upper Name
International Journal of Computational Intelligence Systems,INT J COMPUT INT SYS,SPRINGERNATURE,1875-6891,1875-6883,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",SCIE,2744,3,Q2,0.59,0.9983,INTERNATIONAL JOURNAL OF COMPUTATIONAL INTELLIGENCE SYSTEMS
International Journal of Computational Intelligence Systems,INT J COMPUT INT SYS,SPRINGERNATURE,1875-6891,1875-6883,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,2744,3,Q2,0.59,0.9983,INTERNATIONAL JOURNAL OF COMPUTATIONAL INTELLIGENCE SYSTEMS
Discover Sustainability,DISCOV SUSTAIN,SPRINGERNATURE,N/A,2662-9984,ENVIRONMENTAL SCIENCES,ESCI,908,3,Q3,0.51,0.9984,DISCOVER SUSTAINABILITY
Discover Sustainability,DISCOV SUSTAIN,SPRINGERNATURE,N/A,2662-9984,ENVIRONMENTAL STUDIES,ESCI,908,3,Q2,0.51,0.9984,DISCOVER SUSTAINABILITY
Discover Sustainability,DISCOV SUSTAIN,SPRINGERNATURE,N/A,2662-9984,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,ESCI,908,3,Q3,0.51,0.9984,DISCOVER SUSTAINABILITY
Fractional Calculus and Applied Analysis,FRACT CALC APPL ANAL,SPRINGERNATURE,1311-0454,1314-2224,MATHEMATICS,SCIE,3374,2.9,Q1,1.54,0.2275,FRACTIONAL CALCULUS AND APPLIED ANALYSIS
Fractional Calculus and Applied Analysis,FRACT CALC APPL ANAL,SPRINGERNATURE,1311-0454,1314-2224,"MATHEMATICS, APPLIED",SCIE,3374,2.9,Q1,1.54,0.2275,FRACTIONAL CALCULUS AND APPLIED ANALYSIS
Fractional Calculus and Applied Analysis,FRACT CALC APPL ANAL,SPRINGERNATURE,1311-0454,1314-2224,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",SCIE,3374,2.9,Q1,1.54,0.2275,FRACTIONAL CALCULUS AND APPLIED ANALYSIS
JOURNAL OF SHOULDER AND ELBOW SURGERY,J SHOULDER ELB SURG,MOSBY-ELSEVIER,1058-2746,1532-6500,ORTHOPEDICS,SCIE,18575,2.9,Q1,1.27,0.0876,JOURNAL OF SHOULDER AND ELBOW SURGERY
JOURNAL OF SHOULDER AND ELBOW SURGERY,J SHOULDER ELB SURG,MOSBY-ELSEVIER,1058-2746,1532-6500,SPORT SCIENCES,SCIE,18575,2.9,Q1,1.27,0.0876,JOURNAL OF SHOULDER AND ELBOW SURGERY
JOURNAL OF SHOULDER AND ELBOW SURGERY,J SHOULDER ELB SURG,MOSBY-ELSEVIER,1058-2746,1532-6500,SURGERY,SCIE,18575,2.9,Q1,1.27,0.0876,JOURNAL OF SHOULDER AND ELBOW SURGERY
Adversity and Resilience Science,ADVERS RESIL SCI,SPRINGERNATURE,2662-2424,2662-2416,PSYCHIATRY,ESCI,466,2.9,Q2,1,0.3148,ADVERSITY AND RESILIENCE SCIENCE
Adversity and Resilience Science,ADVERS RESIL SCI,SPRINGERNATURE,2662-2424,2662-2416,"PSYCHOLOGY, MULTIDISCIPLINARY",ESCI,466,2.9,Q1,1,0.3148,ADVERSITY AND RESILIENCE SCIENCE
Journal of Patient-Reported Outcomes,J PATIENT-REP OUTCOM,SPRINGERNATURE,N/A,2509-8020,HEALTH CARE SCIENCES & SERVICES,ESCI,2287,2.9,Q2,0.95,1,JOURNAL OF PATIENT-REPORTED OUTCOMES
Journal of Patient-Reported Outcomes,J PATIENT-REP OUTCOM,SPRINGERNATURE,N/A,2509-8020,HEALTH POLICY & SERVICES,ESCI,2287,2.9,Q1,0.95,1,JOURNAL OF PATIENT-REPORTED OUTCOMES
COMMUNICATIONS IN THEORETICAL PHYSICS,COMMUN THEOR PHYS,IOP Publishing Ltd,0253-6102,1572-9494,"PHYSICS, MULTIDISCIPLINARY",SCIE,4825,2.9,Q2,0.82,0.3746,COMMUNICATIONS IN THEORETICAL PHYSICS
PHARMACOGENOMICS JOURNAL,PHARMACOGENOMICS J,SPRINGERNATURE,1470-269X,1473-1150,GENETICS & HEREDITY,SCIE,2423,2.9,Q2,0.73,0.3444,PHARMACOGENOMICS JOURNAL
PHARMACOGENOMICS JOURNAL,PHARMACOGENOMICS J,SPRINGERNATURE,1470-269X,1473-1150,PHARMACOLOGY & PHARMACY,SCIE,2423,2.9,Q2,0.73,0.3444,PHARMACOGENOMICS JOURNAL
Laboratory Animal Research,LAB ANIM RES,SPRINGERNATURE,1738-6055,2233-7660,"MEDICINE, RESEARCH & EXPERIMENTAL",ESCI,1011,2.9,Q2,0.72,1,LABORATORY ANIMAL RESEARCH
Laboratory Animal Research,LAB ANIM RES,SPRINGERNATURE,1738-6055,2233-7660,VETERINARY SCIENCES,ESCI,1011,2.9,Q1,0.72,1,LABORATORY ANIMAL RESEARCH
Journal of Membrane Computing,J MEMBRANE COMPUT,SPRINGERNATURE,2523-8906,2523-8914,"COMPUTER SCIENCE, THEORY & METHODS",ESCI,366,2.9,Q2,0.67,0.2593,JOURNAL OF MEMBRANE COMPUTING
Systems Microbiology and Biomanufacturing,SYST MICROBIOL BIOM,SPRINGERNATURE,2662-7655,2662-7663,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,ESCI,782,2.9,Q2,0.55,0.0304,SYSTEMS MICROBIOLOGY AND BIOMANUFACTURING
Environmental Research Communications,ENVIRON RES COMMUN,IOP Publishing Ltd,2515-7620,2515-7620,ENVIRONMENTAL SCIENCES,SCIE,2375,2.9,Q3,0.54,0.9988,ENVIRONMENTAL RESEARCH COMMUNICATIONS
LEARNING ENVIRONMENTS RESEARCH,LEARNING ENVIRON RES,SPRINGERNATURE,1387-1579,1573-1855,EDUCATION & EDUCATIONAL RESEARCH,ESCI,1317,2.8,Q1,1.59,0.35,LEARNING ENVIRONMENTS RESEARCH
Current Pediatrics Reports,CURR PEDIATR REP,SPRINGERNATURE,N/A,2167-4841,PEDIATRICS,ESCI,353,2.8,Q1,1.22,0.1974,CURRENT PEDIATRICS REPORTS
NEW JOURNAL OF PHYSICS,NEW J PHYS,IOP Publishing Ltd,1367-2630,1367-2630,"PHYSICS, MULTIDISCIPLINARY",SCIE,34862,2.8,Q2,0.78,0.9951,NEW JOURNAL OF PHYSICS
International Journal of Data Science and Analytics,INT J DATA SCI ANAL,SPRINGERNATURE,2364-415X,2364-4168,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",ESCI,1334,2.8,Q3,0.54,0.313,INTERNATIONAL JOURNAL OF DATA SCIENCE AND ANALYTICS
International Journal of Data Science and Analytics,INT J DATA SCI ANAL,SPRINGERNATURE,2364-415X,2364-4168,"COMPUTER SCIENCE, INFORMATION SYSTEMS",ESCI,1334,2.8,Q2,0.54,0.313,INTERNATIONAL JOURNAL OF DATA SCIENCE AND ANALYTICS
NANOTECHNOLOGY,NANOTECHNOLOGY,IOP Publishing Ltd,0957-4484,1361-6528,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,40705,2.8,Q3,0.51,0.3698,NANOTECHNOLOGY
NANOTECHNOLOGY,NANOTECHNOLOGY,IOP Publishing Ltd,0957-4484,1361-6528,NANOSCIENCE & NANOTECHNOLOGY,SCIE,40705,2.8,Q3,0.51,0.3698,NANOTECHNOLOGY
NANOTECHNOLOGY,NANOTECHNOLOGY,IOP Publishing Ltd,0957-4484,1361-6528,"PHYSICS, APPLIED",SCIE,40705,2.8,Q2,0.51,0.3698,NANOTECHNOLOGY
Biomedical Engineering Letters,BIOMED ENG LETT,SPRINGERNATURE,2093-9868,2093-985X,"ENGINEERING, BIOMEDICAL",SCIE,1542,2.8,Q3,0.49,0.1593,BIOMEDICAL ENGINEERING LETTERS
Research in Astronomy and Astrophysics,RES ASTRON ASTROPHYS,IOP Publishing Ltd,1674-4527,2397-6209,ASTRONOMY & ASTROPHYSICS,SCIE,4917,2.8,Q2,0.47,0.3309,RESEARCH IN ASTRONOMY AND ASTROPHYSICS
Journal of Ocean Engineering and Marine Energy,J OCEAN ENG MAR ENER,SPRINGERNATURE,2198-6444,2198-6452,ENERGY & FUELS,ESCI,750,2.8,Q3,0.45,0.34,JOURNAL OF OCEAN ENGINEERING AND MARINE ENERGY
Journal of Ocean Engineering and Marine Energy,J OCEAN ENG MAR ENER,SPRINGERNATURE,2198-6444,2198-6452,"ENGINEERING, OCEAN",ESCI,750,2.8,Q2,0.45,0.34,JOURNAL OF OCEAN ENGINEERING AND MARINE ENERGY
Environmental Sustainability,ENVIRON SUSTAIN,SPRINGERNATURE,N/A,2523-8922,ENVIRONMENTAL SCIENCES,ESCI,793,2.8,Q3,0.28,0.0943,ENVIRONMENTAL SUSTAINABILITY
SURGERY,SURGERY,MOSBY-ELSEVIER,0039-6060,N/A,SURGERY,SCIE,21842,2.7,Q1,1.41,0.1087,SURGERY
PHYSIOLOGICAL MEASUREMENT,PHYSIOL MEAS,IOP Publishing Ltd,0967-3334,1361-6579,BIOPHYSICS,SCIE,7254,2.7,Q2,0.76,0.56,PHYSIOLOGICAL MEASUREMENT
PHYSIOLOGICAL MEASUREMENT,PHYSIOL MEAS,IOP Publishing Ltd,0967-3334,1361-6579,"ENGINEERING, BIOMEDICAL",SCIE,7254,2.7,Q3,0.76,0.56,PHYSIOLOGICAL MEASUREMENT
PHYSIOLOGICAL MEASUREMENT,PHYSIOL MEAS,IOP Publishing Ltd,0967-3334,1361-6579,PHYSIOLOGY,SCIE,7254,2.7,Q2,0.76,0.56,PHYSIOLOGICAL MEASUREMENT
Organic Agriculture,ORG AGR,SPRINGERNATURE,1879-4238,1879-4246,"AGRICULTURE, MULTIDISCIPLINARY",ESCI,902,2.7,Q2,0.69,0.2925,ORGANIC AGRICULTURE
JOURNAL OF MOLECULAR NEUROSCIENCE,J MOL NEUROSCI,SPRINGERNATURE,0895-8696,1559-1166,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,6428,2.7,Q3,0.68,0.2,JOURNAL OF MOLECULAR NEUROSCIENCE
JOURNAL OF MOLECULAR NEUROSCIENCE,J MOL NEUROSCI,SPRINGERNATURE,0895-8696,1559-1166,NEUROSCIENCES,SCIE,6428,2.7,Q3,0.68,0.2,JOURNAL OF MOLECULAR NEUROSCIENCE
Journal of Optics,J OPTICS-UK,IOP Publishing Ltd,2040-8978,2040-8986,OPTICS,SCIE,6852,2.7,Q2,0.65,0.3486,JOURNAL OF OPTICS
Discover Mental Health,DISCOV MENT HEALTH,SPRINGERNATURE,N/A,2731-4383,PSYCHIATRY,ESCI,147,2.7,Q2,0.61,0.9912,DISCOVER MENTAL HEALTH
JOURNAL OF ANTIBIOTICS,J ANTIBIOT,SPRINGERNATURE,0021-8820,1881-1469,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,8940,2.7,Q3,0.6,0.107,JOURNAL OF ANTIBIOTICS
JOURNAL OF ANTIBIOTICS,J ANTIBIOT,SPRINGERNATURE,0021-8820,1881-1469,IMMUNOLOGY,SCIE,8940,2.7,Q3,0.6,0.107,JOURNAL OF ANTIBIOTICS
JOURNAL OF ANTIBIOTICS,J ANTIBIOT,SPRINGERNATURE,0021-8820,1881-1469,MICROBIOLOGY,SCIE,8940,2.7,Q3,0.6,0.107,JOURNAL OF ANTIBIOTICS
JOURNAL OF ANTIBIOTICS,J ANTIBIOT,SPRINGERNATURE,0021-8820,1881-1469,PHARMACOLOGY & PHARMACY,SCIE,8940,2.7,Q2,0.6,0.107,JOURNAL OF ANTIBIOTICS
POLYMER JOURNAL,POLYM J,SPRINGERNATURE,0032-3896,1349-0540,POLYMER SCIENCE,SCIE,6726,2.7,Q3,0.4,0.2167,POLYMER JOURNAL
Journal of Paleolithic Archaeology,J PALEOLITH ARCHAEOL,SPRINGERNATURE,N/A,2520-8217,ANTHROPOLOGY,ESCI,392,2.6,Q1,1.8,0.6484,JOURNAL OF PALEOLITHIC ARCHAEOLOGY
Journal of Paleolithic Archaeology,J PALEOLITH ARCHAEOL,SPRINGERNATURE,N/A,2520-8217,ARCHAEOLOGY,ESCI,392,2.6,N/A,1.8,0.6484,JOURNAL OF PALEOLITHIC ARCHAEOLOGY
Annals of PDE,ANN PDE,SPRINGERNATURE,2524-5317,2199-2576,MATHEMATICS,SCIE,691,2.6,Q1,1.69,0.2603,ANNALS OF PDE
Annals of PDE,ANN PDE,SPRINGERNATURE,2524-5317,2199-2576,"PHYSICS, MATHEMATICAL",SCIE,691,2.6,Q1,1.69,0.2603,ANNALS OF PDE
Health & Justice,HEAL JUSTICE,SPRINGERNATURE,N/A,2194-7899,CRIMINOLOGY & PENOLOGY,ESCI,748,2.6,Q1,1.27,1,HEALTH & JUSTICE
Health & Justice,HEAL JUSTICE,SPRINGERNATURE,N/A,2194-7899,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",ESCI,748,2.6,Q2,1.27,1,HEALTH & JUSTICE
BRITISH DENTAL JOURNAL,BRIT DENT J,SPRINGERNATURE,0007-0610,1476-5373,"DENTISTRY, ORAL SURGERY & MEDICINE",SCIE,8553,2.6,Q2,0.91,0.3627,BRITISH DENTAL JOURNAL
HEART & LUNG,HEART LUNG,MOSBY-ELSEVIER,0147-9563,1527-3288,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,3783,2.6,Q2,0.91,0.1127,HEART & LUNG
HEART & LUNG,HEART LUNG,MOSBY-ELSEVIER,0147-9563,1527-3288,NURSING,SCIE,3783,2.6,Q1,0.91,0.1127,HEART & LUNG
HEART & LUNG,HEART LUNG,MOSBY-ELSEVIER,0147-9563,1527-3288,RESPIRATORY SYSTEM,SCIE,3783,2.6,Q2,0.91,0.1127,HEART & LUNG
Affective Science,AFFECT SCI,SPRINGERNATURE,2662-2041,2662-205X,PSYCHOLOGY,ESCI,937,2.6,Q2,0.78,0.1937,AFFECTIVE SCIENCE
Affective Science,AFFECT SCI,SPRINGERNATURE,2662-2041,2662-205X,"PSYCHOLOGY, EXPERIMENTAL",ESCI,937,2.6,Q2,0.78,0.1937,AFFECTIVE SCIENCE
Diagnostic and Prognostic Research,DIAGN PROGN RES,SPRINGERNATURE,N/A,2397-7523,"MEDICINE, GENERAL & INTERNAL",ESCI,745,2.6,Q1,0.75,1,DIAGNOSTIC AND PROGNOSTIC RESEARCH
PHYSICA SCRIPTA,PHYS SCRIPTA,IOP Publishing Ltd,0031-8949,1402-4896,"PHYSICS, MULTIDISCIPLINARY",SCIE,25086,2.6,Q2,0.75,0.3401,PHYSICA SCRIPTA
NEJM Catalyst Innovations in Care Delivery,NEJM CATAL INNOV CAR,MASSACHUSETTS MEDICAL SOC,N/A,2642-0007,HEALTH CARE SCIENCES & SERVICES,ESCI,999,2.6,Q2,0.64,0.0045,NEJM CATALYST INNOVATIONS IN CARE DELIVERY
Beni-Suef University Journal of Basic and Applied Sciences,BENI-SUEF U J BASIC,SPRINGERNATURE,N/A,2314-8543,MULTIDISCIPLINARY SCIENCES,ESCI,1963,2.6,Q2,0.52,1,BENI-SUEF UNIVERSITY JOURNAL OF BASIC AND APPLIED SCIENCES
JOURNAL OF PHYSICS-CONDENSED MATTER,J PHYS-CONDENS MAT,IOP Publishing Ltd,0953-8984,1361-648X,"PHYSICS, CONDENSED MATTER",SCIE,50733,2.6,Q3,0.35,0.4125,JOURNAL OF PHYSICS-CONDENSED MATTER
Language Testing in Asia,LANG TEST ASIA,SPRINGERNATURE,N/A,2229-0443,EDUCATION & EDUCATIONAL RESEARCH,ESCI,615,2.5,Q1,1.91,1,LANGUAGE TESTING IN ASIA
Language Testing in Asia,LANG TEST ASIA,SPRINGERNATURE,N/A,2229-0443,LANGUAGE & LINGUISTICS,ESCI,615,2.5,N/A,1.91,1,LANGUAGE TESTING IN ASIA
Language Testing in Asia,LANG TEST ASIA,SPRINGERNATURE,N/A,2229-0443,LINGUISTICS,ESCI,615,2.5,Q1,1.91,1,LANGUAGE TESTING IN ASIA
Current Developmental Disorders Reports,CURR DEV DISORD REP,SPRINGERNATURE,N/A,2196-2987,NEUROSCIENCES,ESCI,839,2.5,Q3,0.88,0.3099,CURRENT DEVELOPMENTAL DISORDERS REPORTS
Current Developmental Disorders Reports,CURR DEV DISORD REP,SPRINGERNATURE,N/A,2196-2987,"PSYCHOLOGY, DEVELOPMENTAL",ESCI,839,2.5,Q2,0.88,0.3099,CURRENT DEVELOPMENTAL DISORDERS REPORTS
Current Developmental Disorders Reports,CURR DEV DISORD REP,SPRINGERNATURE,N/A,2196-2987,REHABILITATION,ESCI,839,2.5,Q1,0.88,0.3099,CURRENT DEVELOPMENTAL DISORDERS REPORTS
Animal Biotelemetry,ANIM BIOTELEM,SPRINGERNATURE,N/A,2050-3385,BIODIVERSITY CONSERVATION,SCIE,1032,2.5,Q2,0.8,1,ANIMAL BIOTELEMETRY
Animal Biotelemetry,ANIM BIOTELEM,SPRINGERNATURE,N/A,2050-3385,ECOLOGY,SCIE,1032,2.5,Q2,0.8,1,ANIMAL BIOTELEMETRY
Animal Biotelemetry,ANIM BIOTELEM,SPRINGERNATURE,N/A,2050-3385,MARINE & FRESHWATER BIOLOGY,SCIE,1032,2.5,Q1,0.8,1,ANIMAL BIOTELEMETRY
INTERNATIONAL JOURNAL OF IMPOTENCE RESEARCH,INT J IMPOT RES,SPRINGERNATURE,0955-9930,1476-5489,UROLOGY & NEPHROLOGY,SCIE,3353,2.5,Q2,0.79,0.2005,INTERNATIONAL JOURNAL OF IMPOTENCE RESEARCH
BMC Rheumatology,BMC RHEUMATOL,SPRINGERNATURE,N/A,2520-1026,RHEUMATOLOGY,ESCI,972,2.5,Q2,0.68,1,BMC RHEUMATOLOGY
Journal of Industrial and Business Economics,J IND BUS ECON,SPRINGERNATURE,0391-2078,1972-4977,ECONOMICS,ESCI,501,2.5,Q1,0.65,0.4087,JOURNAL OF INDUSTRIAL AND BUSINESS ECONOMICS
JOURNAL OF HUMAN GENETICS,J HUM GENET,SPRINGERNATURE,1434-5161,1435-232X,GENETICS & HEREDITY,SCIE,4879,2.5,Q2,0.63,0.2369,JOURNAL OF HUMAN GENETICS
Anthropocene Coasts,ANTHROPOCENE COASTS,SPRINGERNATURE,N/A,2561-4150,ENVIRONMENTAL SCIENCES,ESCI,273,2.5,Q3,0.62,1,ANTHROPOCENE COASTS
Anthropocene Coasts,ANTHROPOCENE COASTS,SPRINGERNATURE,N/A,2561-4150,OCEANOGRAPHY,ESCI,273,2.5,Q2,0.62,1,ANTHROPOCENE COASTS
International Journal of Pavement Research and Technology,INT J PAVEMENT RES T,SPRINGERNATURE,1996-6814,1997-1400,CONSTRUCTION & BUILDING TECHNOLOGY,ESCI,2438,2.5,Q2,0.56,0.0524,INTERNATIONAL JOURNAL OF PAVEMENT RESEARCH AND TECHNOLOGY
International Journal of Pavement Research and Technology,INT J PAVEMENT RES T,SPRINGERNATURE,1996-6814,1997-1400,"ENGINEERING, CIVIL",ESCI,2438,2.5,Q2,0.56,0.0524,INTERNATIONAL JOURNAL OF PAVEMENT RESEARCH AND TECHNOLOGY
International Journal of Pavement Research and Technology,INT J PAVEMENT RES T,SPRINGERNATURE,1996-6814,1997-1400,"MATERIALS SCIENCE, MULTIDISCIPLINARY",ESCI,2438,2.5,Q3,0.56,0.0524,INTERNATIONAL JOURNAL OF PAVEMENT RESEARCH AND TECHNOLOGY
Aerosol and Air Quality Research,AEROSOL AIR QUAL RES,SPRINGERNATURE,1680-8584,2071-1409,ENVIRONMENTAL SCIENCES,SCIE,6169,2.5,Q3,0.51,1,AEROSOL AND AIR QUALITY RESEARCH
MOLECULAR BIOTECHNOLOGY,MOL BIOTECHNOL,SPRINGERNATURE,1073-6085,1559-0305,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,4865,2.5,Q3,0.49,0.0944,MOLECULAR BIOTECHNOLOGY
MOLECULAR BIOTECHNOLOGY,MOL BIOTECHNOL,SPRINGERNATURE,1073-6085,1559-0305,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,4865,2.5,Q3,0.49,0.0944,MOLECULAR BIOTECHNOLOGY
Nano Express,NANO EXPRESS,IOP Publishing Ltd,N/A,2632-959X,"MATERIALS SCIENCE, MULTIDISCIPLINARY",ESCI,1116,2.5,Q3,0.38,0.9949,NANO EXPRESS
Nano Express,NANO EXPRESS,IOP Publishing Ltd,N/A,2632-959X,NANOSCIENCE & NANOTECHNOLOGY,ESCI,1116,2.5,Q3,0.38,0.9949,NANO EXPRESS
Nano Express,NANO EXPRESS,IOP Publishing Ltd,N/A,2632-959X,"PHYSICS, APPLIED",ESCI,1116,2.5,Q3,0.38,0.9949,NANO EXPRESS
Process Integration and Optimization for Sustainability,PROC INTEGR OPTIM,SPRINGERNATURE,2509-4238,2509-4246,ENERGY & FUELS,ESCI,765,2.5,Q3,0.37,0.1024,PROCESS INTEGRATION AND OPTIMIZATION FOR SUSTAINABILITY
Process Integration and Optimization for Sustainability,PROC INTEGR OPTIM,SPRINGERNATURE,2509-4238,2509-4246,"ENGINEERING, CHEMICAL",ESCI,765,2.5,Q3,0.37,0.1024,PROCESS INTEGRATION AND OPTIMIZATION FOR SUSTAINABILITY
Process Integration and Optimization for Sustainability,PROC INTEGR OPTIM,SPRINGERNATURE,2509-4238,2509-4246,"ENGINEERING, ENVIRONMENTAL",ESCI,765,2.5,Q3,0.37,0.1024,PROCESS INTEGRATION AND OPTIMIZATION FOR SUSTAINABILITY
Process Integration and Optimization for Sustainability,PROC INTEGR OPTIM,SPRINGERNATURE,2509-4238,2509-4246,ENVIRONMENTAL SCIENCES,ESCI,765,2.5,Q3,0.37,0.1024,PROCESS INTEGRATION AND OPTIMIZATION FOR SUSTAINABILITY
Process Integration and Optimization for Sustainability,PROC INTEGR OPTIM,SPRINGERNATURE,2509-4238,2509-4246,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,ESCI,765,2.5,Q4,0.37,0.1024,PROCESS INTEGRATION AND OPTIMIZATION FOR SUSTAINABILITY
JOURNAL OF VOICE,J VOICE,MOSBY-ELSEVIER,0892-1997,1873-4588,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,SCIE,8284,2.4,Q1,1.43,0.0609,JOURNAL OF VOICE
JOURNAL OF VOICE,J VOICE,MOSBY-ELSEVIER,0892-1997,1873-4588,OTORHINOLARYNGOLOGY,SCIE,8284,2.4,Q1,1.43,0.0609,JOURNAL OF VOICE
Journal of Perinatology,J PERINATOL,SPRINGERNATURE,0743-8346,1476-5543,OBSTETRICS & GYNECOLOGY,SCIE,9511,2.4,Q2,1.04,0.163,JOURNAL OF PERINATOLOGY
Journal of Perinatology,J PERINATOL,SPRINGERNATURE,0743-8346,1476-5543,PEDIATRICS,SCIE,9511,2.4,Q1,1.04,0.163,JOURNAL OF PERINATOLOGY
AMERICAN JOURNAL OF INFECTION CONTROL,AM J INFECT CONTROL,MOSBY-ELSEVIER,0196-6553,1527-3296,INFECTIOUS DISEASES,SCIE,10038,2.4,Q3,1.03,0.1394,AMERICAN JOURNAL OF INFECTION CONTROL
AMERICAN JOURNAL OF INFECTION CONTROL,AM J INFECT CONTROL,MOSBY-ELSEVIER,0196-6553,1527-3296,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SCIE,10038,2.4,Q2,1.03,0.1394,AMERICAN JOURNAL OF INFECTION CONTROL
Journal of Economic Inequality,J ECON INEQUAL,SPRINGERNATURE,1569-1721,1573-8701,ECONOMICS,SSCI,1335,2.4,Q2,0.92,0.5252,JOURNAL OF ECONOMIC INEQUALITY
Geriatric Nursing,GERIATR NURS,MOSBY-ELSEVIER,0197-4572,1528-3984,GERIATRICS & GERONTOLOGY,SCIE,4037,2.4,Q3,0.87,0.1459,GERIATRIC NURSING
Geriatric Nursing,GERIATR NURS,MOSBY-ELSEVIER,0197-4572,1528-3984,GERONTOLOGY,SSCI,4037,2.4,Q2,0.87,0.1459,GERIATRIC NURSING
Geriatric Nursing,GERIATR NURS,MOSBY-ELSEVIER,0197-4572,1528-3984,NURSING,"SCIE, SSCI",4037,2.4,Q1,0.87,0.1459,GERIATRIC NURSING
Echo Research and Practice,ECHO RES PRACT,SPRINGERNATURE,2055-0464,2055-0464,CARDIAC & CARDIOVASCULAR SYSTEMS,ESCI,590,2.4,Q2,0.74,1,ECHO RESEARCH AND PRACTICE
Journal of Cotton Research,J COTTON RES,SPRINGERNATURE,2096-5044,2523-3254,PLANT SCIENCES,ESCI,477,2.4,Q2,0.6,1,JOURNAL OF COTTON RESEARCH
Surface Topography-Metrology and Properties,SURF TOPOGR-METROL,IOP Publishing Ltd,2051-672X,2051-672X,"ENGINEERING, MECHANICAL",SCIE,2100,2.4,Q2,0.53,0.2758,SURFACE TOPOGRAPHY-METROLOGY AND PROPERTIES
Surface Topography-Metrology and Properties,SURF TOPOGR-METROL,IOP Publishing Ltd,2051-672X,2051-672X,INSTRUMENTS & INSTRUMENTATION,SCIE,2100,2.4,Q2,0.53,0.2758,SURFACE TOPOGRAPHY-METROLOGY AND PROPERTIES
Surface Topography-Metrology and Properties,SURF TOPOGR-METROL,IOP Publishing Ltd,2051-672X,2051-672X,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,2100,2.4,Q3,0.53,0.2758,SURFACE TOPOGRAPHY-METROLOGY AND PROPERTIES
Methods and Applications in Fluorescence,METHODS APPL FLUORES,IOP Publishing Ltd,2050-6120,2050-6120,"CHEMISTRY, ANALYTICAL",SCIE,1302,2.4,Q3,0.45,0.4394,METHODS AND APPLICATIONS IN FLUORESCENCE
Methods and Applications in Fluorescence,METHODS APPL FLUORES,IOP Publishing Ltd,2050-6120,2050-6120,"CHEMISTRY, PHYSICAL",SCIE,1302,2.4,Q3,0.45,0.4394,METHODS AND APPLICATIONS IN FLUORESCENCE
METROLOGIA,METROLOGIA,IOP Publishing Ltd,0026-1394,1681-7575,INSTRUMENTS & INSTRUMENTATION,SCIE,4169,2.4,Q2,0.44,0.5957,METROLOGIA
METROLOGIA,METROLOGIA,IOP Publishing Ltd,0026-1394,1681-7575,"PHYSICS, APPLIED",SCIE,4169,2.4,Q3,0.44,0.5957,METROLOGIA
MODELLING AND SIMULATION IN MATERIALS SCIENCE AND ENGINEERING,MODEL SIMUL MATER SC,IOP Publishing Ltd,0965-0393,1361-651X,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,7683,2.4,Q3,0.41,0.4801,MODELLING AND SIMULATION IN MATERIALS SCIENCE AND ENGINEERING
MODELLING AND SIMULATION IN MATERIALS SCIENCE AND ENGINEERING,MODEL SIMUL MATER SC,IOP Publishing Ltd,0965-0393,1361-651X,"PHYSICS, APPLIED",SCIE,7683,2.4,Q3,0.41,0.4801,MODELLING AND SIMULATION IN MATERIALS SCIENCE AND ENGINEERING
In vitro models,IN VITRO MODELS,SPRINGERNATURE,2731-3433,2731-3441,CELL & TISSUE ENGINEERING,ESCI,129,2.4,Q4,0.39,0.5156,IN VITRO MODELS
In vitro models,IN VITRO MODELS,SPRINGERNATURE,2731-3433,2731-3441,"MATERIALS SCIENCE, BIOMATERIALS",ESCI,129,2.4,Q4,0.39,0.5156,IN VITRO MODELS
Electronic Structure,ELECTRON STRUCT,IOP Publishing Ltd,2516-1075,2516-1075,"CHEMISTRY, PHYSICAL",ESCI,566,2.4,Q3,0.34,0.5963,ELECTRONIC STRUCTURE
Electronic Structure,ELECTRON STRUCT,IOP Publishing Ltd,2516-1075,2516-1075,"MATERIALS SCIENCE, MULTIDISCIPLINARY",ESCI,566,2.4,Q3,0.34,0.5963,ELECTRONIC STRUCTURE
